Participant,TimeStamp,Order,Task,Forehead Temp,Nasal Temp
1,52,Reading,literary piece,36.5,32.9
1,53,Reading,literary piece,36.6,32.4
1,54,Reading,literary piece,36.6,32
1,55,Reading,literary piece,36.5,32.7
1,56,Reading,literary piece,36.6,32
1,57,Reading,literary piece,36.5,32.7
1,58,Reading,literary piece,36.6,31.9
1,59,Reading,literary piece,36.6,32.2
1,60,Reading,literary piece,36.7,32.1
1,61,Reading,literary piece,36.8,31.8
1,62,Reading,literary piece,36.7,32.6
1,63,Reading,literary piece,36.8,31.5
1,64,Reading,literary piece,36.7,31.5
1,65,Reading,literary piece,36.5,31.5
1,66,Reading,literary piece,36.5,31.7
1,67,Reading,literary piece,36.6,31.7
1,68,Reading,literary piece,36.7,31.6
1,69,Reading,literary piece,36.6,31.5
1,70,Reading,literary piece,36.6,31.6
1,71,Reading,literary piece,36.5,31.6
1,72,Reading,literary piece,36.7,31.6
1,73,Reading,literary piece,36.7,31.4
1,74,Reading,literary piece,36.6,31.4
1,75,Reading,literary piece,36.7,31.8
1,76,Reading,literary piece,36.7,31.9
1,77,Reading,literary piece,36.7,32
1,78,Reading,literary piece,36.7,31.5
1,79,Reading,literary piece,36.6,31.7
1,80,Reading,literary piece,36.6,31.6
1,81,Reading,literary piece,36.7,31.7
1,82,Reading,literary piece,36.6,31.8
1,83,Reading,literary piece,36.6,32.1
1,84,Reading,literary piece,36.7,32
1,85,Reading,literary piece,36.7,32.1
1,86,Reading,literary piece,36.7,31.6
1,87,Reading,literary piece,36.7,32.1
1,88,Reading,literary piece,36.7,31.7
1,89,Reading,literary piece,36.6,31.7
1,90,Reading,literary piece,36.5,31.6
1,1,Reading,comic,36.4,34.5
1,2,Reading,comic,36.4,34.4
1,3,Reading,comic,36.6,34.5
1,4,Reading,comic,36.6,34.7
1,5,Reading,comic,36.5,34.4
1,6,Reading,comic,36.6,34.6
1,7,Reading,comic,36.5,34.6
1,8,Reading,comic,36.4,34.4
1,9,Reading,comic,36.5,34.4
1,10,Reading,comic,36.3,34.7
1,11,Reading,comic,36.4,33.7
1,12,Reading,comic,36.5,34.6
1,13,Reading,comic,36.5,34.1
1,14,Reading,comic,36.4,34.5
1,15,Reading,comic,36.5,34.3
1,16,Reading,comic,36.6,34.5
1,17,Reading,comic,36.5,34.3
1,18,Reading,comic,36.4,34.4
1,19,Reading,comic,36.5,34.4
1,20,Reading,comic,36.5,34.6
1,21,Reading,comic,36.6,34.3
1,22,Reading,comic,36.5,34.3
1,23,Reading,comic,36.4,34.1
1,24,Reading,comic,36.6,34.3
1,25,Reading,comic,36.6,34.3
1,26,Reading,comic,36.5,34.4
1,27,Reading,comic,36.6,34.5
1,28,Reading,comic,36.7,34.5
1,29,Reading,comic,36.5,34.4
1,30,Reading,comic,36.5,34.4
1,31,Reading,comic,36.5,34.5
1,32,Reading,comic,36.6,34.5
1,33,Reading,comic,36.6,34.4
1,34,Reading,comic,36.6,34.5
1,35,Reading,comic,36.6,34.5
1,36,Reading,comic,36.6,34.5
1,37,Reading,comic,36.6,34.5
1,38,Reading,comic,36.4,34.2
1,39,Reading,comic,36.4,34.3
1,40,Reading,comic,36.5,34.3
1,41,Reading,comic,36.5,34.5
1,42,Reading,comic,36.6,34.4
1,43,Reading,comic,36.6,34.3
1,44,Reading,comic,36.6,34.5
1,45,Reading,comic,36.6,34.5
1,46,Reading,comic,36.6,34.4
1,47,Reading,comic,36.4,34.2
1,48,Reading,comic,36.5,34.3
1,49,Reading,comic,36.6,34.3
1,50,Reading,comic,36.6,34.2
1,51,Reading,comic,36.6,34.4
1,52,Reading,comic,36.5,34.3
1,53,Reading,comic,36.5,34.4
1,54,Reading,comic,36.6,34.4
1,55,Reading,comic,36.6,34.5
1,56,Reading,comic,36.6,34.6
1,57,Reading,comic,36.6,34.3
1,58,Reading,comic,36.5,34.5
1,59,Reading,comic,36.5,34.3
1,60,Reading,comic,36.6,34.2
1,61,Reading,comic,36.5,34.3
1,62,Reading,comic,36.5,34.6
1,63,Reading,comic,36.5,34.6
1,64,Reading,comic,36.5,34.4
1,65,Reading,comic,36.6,34.4
1,66,Reading,comic,36.5,34.4
1,67,Reading,comic,36.6,34.5
1,68,Reading,comic,36.6,34.4
1,69,Reading,comic,36.5,34.3
1,70,Reading,comic,36.5,34.3
1,71,Reading,comic,36.6,34.3
1,72,Reading,comic,36.5,34.4
1,73,Reading,comic,36.5,34.4
1,74,Reading,comic,36.5,34.6
1,75,Reading,comic,36.5,34.4
1,76,Reading,comic,36.7,34.4
1,77,Reading,comic,36.5,34.6
1,78,Reading,comic,36.5,34.4
1,79,Reading,comic,36.6,34.2
1,80,Reading,comic,36.6,34.4
1,81,Reading,comic,36.6,34.2
1,82,Reading,comic,36.5,34.4
1,83,Reading,comic,36.4,34.4
1,84,Reading,comic,36.5,34.7
1,85,Reading,comic,36.4,34.4
1,86,Reading,comic,36.5,34.2
1,87,Reading,comic,36.6,34.1
1,88,Reading,comic,36.5,34.2
1,89,Reading,comic,36.6,34.3
1,90,Reading,comic,36.5,34.1
1,1,Video,boring,36.6,34.1
1,2,Video,boring,36.7,34
1,3,Video,boring,36.7,34
1,4,Video,boring,36.6,34
1,5,Video,boring,36.7,34
1,6,Video,boring,36.5,34.3
1,7,Video,boring,36.6,33.9
1,8,Video,boring,36.6,34.2
1,9,Video,boring,36.7,34.2
1,10,Video,boring,36.7,34.1
1,11,Video,boring,36.6,33.9
1,12,Video,boring,36.5,34
1,13,Video,boring,36.6,33.8
1,14,Video,boring,36.5,33.8
1,15,Video,boring,36.5,33.8
1,16,Video,boring,36.5,33.8
1,17,Video,boring,36.6,33.9
1,18,Video,boring,36.5,33.9
1,19,Video,boring,36.6,34
1,20,Video,boring,36.5,33.8
1,21,Video,boring,36.5,34.1
1,22,Video,boring,36.6,34
1,23,Video,boring,36.6,33.8
1,24,Video,boring,36.6,34
1,25,Video,boring,36.6,34
1,26,Video,boring,36.7,34
1,27,Video,boring,36.7,34.1
1,28,Video,boring,36.7,34.2
1,29,Video,boring,36.7,34.2
1,30,Video,boring,36.8,34.1
1,31,Video,boring,36.8,34.2
1,32,Video,boring,36.8,34.2
1,33,Video,boring,36.8,34.2
1,34,Video,boring,36.8,34.3
1,35,Video,boring,36.6,34.1
1,36,Video,boring,36.6,34.2
1,37,Video,boring,36.5,34.2
1,38,Video,boring,36.5,34.2
1,39,Video,boring,36.7,34.3
1,40,Video,boring,36.7,34.3
1,41,Video,boring,36.7,34.3
1,42,Video,boring,36.7,34.5
1,43,Video,boring,36.7,34.5
1,44,Video,boring,36.7,34.4
1,45,Video,boring,36.7,34.5
1,46,Video,boring,36.7,34.4
1,47,Video,boring,36.7,34.5
1,48,Video,boring,36.6,34.4
1,49,Video,boring,36.6,34.3
1,50,Video,boring,36.8,34.3
1,51,Video,boring,36.7,34.4
1,52,Video,boring,36.6,34.4
1,53,Video,boring,36.6,34.3
1,54,Video,boring,36.7,34.3
1,55,Video,boring,36.6,34.3
1,56,Video,boring,36.7,34.4
1,57,Video,boring,36.7,34.4
1,58,Video,boring,36.8,34.3
1,59,Video,boring,36.8,34.3
1,60,Video,boring,36.8,34.4
1,61,Video,boring,36.8,34.4
1,62,Video,boring,36.6,34.2
1,63,Video,boring,36.5,34.1
1,64,Video,boring,36.6,34.1
1,65,Video,boring,36.7,34.2
1,66,Video,boring,36.6,34.1
1,67,Video,boring,36.7,34.1
1,68,Video,boring,36.5,34.1
1,69,Video,boring,36.5,33.9
1,70,Video,boring,36.7,34
1,71,Video,boring,36.6,33.9
1,72,Video,boring,36.6,34
1,73,Video,boring,36.7,34.1
1,74,Video,boring,36.7,34
1,75,Video,boring,36.7,34.1
1,76,Video,boring,36.7,34
1,77,Video,boring,36.7,34
1,78,Video,boring,36.6,34
1,79,Video,boring,36.7,34
1,80,Video,boring,36.6,33.9
1,81,Video,boring,36.6,34
1,82,Video,boring,36.7,34
1,83,Video,boring,36.6,34
1,84,Video,boring,36.7,34.1
1,85,Video,boring,36.7,33.9
1,86,Video,boring,36.5,34
1,87,Video,boring,36.7,33.9
1,88,Video,boring,36.6,33.8
1,89,Video,boring,36.6,33.9
1,90,Video,boring,36.6,33.9
1,1,Video,scary,36.6,34.3
1,2,Video,scary,36.5,34.6
1,3,Video,scary,36.5,34.6
1,4,Video,scary,36.5,34.7
1,5,Video,scary,36.5,34.6
1,6,Video,scary,36.6,34.6
1,7,Video,scary,36.6,34.8
1,8,Video,scary,36.7,34.6
1,9,Video,scary,36.5,34.2
1,10,Video,scary,36.5,34.2
1,11,Video,scary,36.6,34.4
1,12,Video,scary,36.5,34
1,13,Video,scary,36.5,34
1,14,Video,scary,36.6,34.3
1,15,Video,scary,36.5,34.2
1,16,Video,scary,36.5,34.3
1,17,Video,scary,36.6,34.2
1,18,Video,scary,36.6,34.1
1,19,Video,scary,36.7,34.5
1,20,Video,scary,36.6,34.4
1,21,Video,scary,36.6,34.3
1,22,Video,scary,36.5,34
1,23,Video,scary,36.5,34
1,24,Video,scary,36.6,34
1,25,Video,scary,36.6,33.9
1,26,Video,scary,36.5,33.9
1,27,Video,scary,36.5,33.8
1,28,Video,scary,36.5,33.8
1,29,Video,scary,36.5,33.8
1,30,Video,scary,36.5,33.9
1,31,Video,scary,36.5,34
1,32,Video,scary,36.5,34
1,33,Video,scary,36.6,34.2
1,34,Video,scary,36.6,33.8
1,35,Video,scary,36.5,33.9
1,36,Video,scary,36.5,33.8
1,37,Video,scary,36.5,33.9
1,38,Video,scary,36.5,33.7
1,39,Video,scary,36.5,33.8
1,40,Video,scary,36.5,33.7
1,41,Video,scary,36.5,33.7
1,42,Video,scary,36.5,33.7
1,43,Video,scary,36.5,33.7
1,44,Video,scary,36.5,33.9
1,45,Video,scary,36.4,33.7
1,46,Video,scary,36.5,33.4
1,47,Video,scary,36.5,33.7
1,48,Video,scary,36.5,33.5
1,49,Video,scary,36.5,33.5
1,50,Video,scary,36.5,33.7
1,51,Video,scary,36.5,33.5
1,52,Video,scary,36.5,33.6
1,53,Video,scary,36.4,33.6
1,54,Video,scary,36.5,33.3
1,55,Video,scary,36.5,33.6
1,56,Video,scary,36.5,33.9
1,57,Video,scary,36.6,33.6
1,58,Video,scary,36.6,33.4
1,59,Video,scary,36.6,33.4
1,60,Video,scary,36.6,33.4
1,61,Video,scary,36.6,33.5
1,62,Video,scary,36.7,33.5
1,63,Video,scary,36.7,33.3
1,64,Video,scary,36.7,33.4
1,65,Video,scary,36.6,33.5
1,66,Video,scary,36.5,33.7
1,67,Video,scary,36.5,33.5
1,68,Video,scary,36.5,33.7
1,69,Video,scary,36.5,33.3
1,70,Video,scary,36.6,33.2
1,71,Video,scary,36.4,33.6
1,72,Video,scary,36.4,33.4
1,73,Video,scary,36.5,33.2
1,74,Video,scary,36.7,33.2
1,75,Video,scary,36.6,33.1
1,76,Video,scary,36.6,33.2
1,77,Video,scary,36.6,33.2
1,78,Video,scary,36.5,33.2
1,79,Video,scary,36.7,33.3
1,80,Video,scary,36.5,33.2
1,81,Video,scary,36.6,33.5
1,82,Video,scary,36.5,33.3
1,83,Video,scary,36.5,33.1
1,84,Video,scary,36.6,33
1,85,Video,scary,36.5,33
1,86,Video,scary,36.5,32.9
1,87,Video,scary,36.5,33
1,88,Video,scary,36.5,33
1,89,Video,scary,36.5,33
1,90,Video,scary,36.4,33.2
1,1,Video,entertaining,36.3,34.4
1,2,Video,entertaining,36.4,34.1
1,3,Video,entertaining,36.4,34.5
1,4,Video,entertaining,36.4,34.5
1,5,Video,entertaining,36.3,34.4
1,6,Video,entertaining,36.3,34.4
1,7,Video,entertaining,36.3,34.1
1,8,Video,entertaining,36.4,34.5
1,9,Video,entertaining,36.4,34.2
1,10,Video,entertaining,36.4,34.1
1,11,Video,entertaining,36.2,34.1
1,12,Video,entertaining,36.4,34
1,13,Video,entertaining,36.4,34.5
1,14,Video,entertaining,36.3,33.8
1,15,Video,entertaining,36.4,34.6
1,16,Video,entertaining,36.5,34.6
1,17,Video,entertaining,36.5,34.5
1,18,Video,entertaining,36.5,34.5
1,19,Video,entertaining,36.5,34.6
1,20,Video,entertaining,36.5,34.5
1,21,Video,entertaining,36.5,34.6
1,22,Video,entertaining,36.4,34.5
1,23,Video,entertaining,36.4,34.6
1,24,Video,entertaining,36.5,34.4
1,25,Video,entertaining,36.5,34.3
1,26,Video,entertaining,36.5,34.6
1,27,Video,entertaining,36.5,34.8
1,28,Video,entertaining,36.4,34.3
1,29,Video,entertaining,36.6,34.5
1,30,Video,entertaining,36.5,34.7
1,31,Video,entertaining,36.5,34.4
1,32,Video,entertaining,36.6,34.5
1,33,Video,entertaining,36.6,34.5
1,34,Video,entertaining,36.6,34.4
1,35,Video,entertaining,36.6,34.4
1,36,Video,entertaining,36.7,34.3
1,37,Video,entertaining,36.5,34.3
1,38,Video,entertaining,36.7,34.2
1,39,Video,entertaining,36.6,34.7
1,40,Video,entertaining,36.5,34.1
1,41,Video,entertaining,36.6,34.1
1,42,Video,entertaining,36.5,34.1
1,43,Video,entertaining,36.5,34
1,44,Video,entertaining,36.5,34.1
1,45,Video,entertaining,36.6,34.1
1,46,Video,entertaining,36.6,34
1,47,Video,entertaining,36.6,34.1
1,48,Video,entertaining,36.6,34
1,49,Video,entertaining,36.6,34.2
1,50,Video,entertaining,36.6,34
1,51,Video,entertaining,36.7,34.1
1,52,Video,entertaining,36.6,33.9
1,53,Video,entertaining,36.6,34
1,54,Video,entertaining,36.6,33.9
1,55,Video,entertaining,36.5,33.9
1,56,Video,entertaining,36.6,33.8
1,57,Video,entertaining,36.5,33.9
1,58,Video,entertaining,36.6,34
1,59,Video,entertaining,36.6,33.9
1,60,Video,entertaining,36.5,33.8
1,61,Video,entertaining,36.5,34
1,62,Video,entertaining,36.5,33.9
1,63,Video,entertaining,36.5,33.7
1,64,Video,entertaining,36.6,33.7
1,65,Video,entertaining,36.6,33.7
1,66,Video,entertaining,36.6,33.7
1,67,Video,entertaining,36.5,33.6
1,68,Video,entertaining,36.5,33.6
1,69,Video,entertaining,36.6,33.6
1,70,Video,entertaining,36.6,33.5
1,71,Video,entertaining,36.6,33.5
1,72,Video,entertaining,36.5,33.5
1,73,Video,entertaining,36.5,33.5
1,74,Video,entertaining,36.5,33.5
1,75,Video,entertaining,36.4,33.6
1,76,Video,entertaining,36.5,33.5
1,77,Video,entertaining,36.5,33.5
1,78,Video,entertaining,36.5,33.4
1,79,Video,entertaining,36.4,33.5
1,80,Video,entertaining,36.6,33.3
1,81,Video,entertaining,36.5,33.5
1,82,Video,entertaining,36.6,33.3
1,83,Video,entertaining,36.5,33.5
1,84,Video,entertaining,36.5,33.2
1,85,Video,entertaining,36.5,33.4
1,86,Video,entertaining,36.6,33.2
1,87,Video,entertaining,36.5,33.3
1,88,Video,entertaining,36.5,33
1,89,Video,entertaining,36.5,33.2
1,90,Video,entertaining,36.5,33.3
1,1,Video,info,36.3,34.2
1,2,Video,info,36.2,34.6
1,3,Video,info,36.3,34.1
1,4,Video,info,36.3,33.4
1,5,Video,info,36.3,33.5
1,6,Video,info,36.3,34.1
1,7,Video,info,36.5,33.9
1,8,Video,info,36.3,33.7
